Model,2024,2024,2025 Q3,2025 Q3,2026,2026
Model,Units,% of total,Units,% of total,Units,% of total
911(992),"14,128 (21%)",19%,"13,574 (4%)",18%,,
718,"5,698 (26%)",7%,"6,399 (12%)",8%,,
Taycan,"4,747	(37%)",6%,"4,142 (13%)",5%,,
Panamera,"3,982 (5%)",5%,"4,651 (17%)",6%,,
Cayenne,"22,432 (10%)",29%,"20,314 (9%)",27%,,
Macan,"25,180 (7%)",33%,"27,139 (8%)",36%,,
Total,"76,167 (1%)","76,167 (1%)","76,219 (0%)","76,219 (0%)",,
