Model,2006,2006,2007,2007,2008,2008
Model,Units,% of total,Units,% of total,Units,% of total
911(997),"12,702 (19%)",35%,"13,153 (4%)",36%,"8,324 (37%)",30%
Boxster(987),"4,850 (42%)",14%,"3,904 (24%)",11%,"2,982 (24%)",11%
Cayman,"7,313",20%,"6,249 (17%)",17%,"3,513 (44%)",13%
Cayenne,"11,141 (23%)",31%,"13,370 (20%)",36%,"12,898 (4%)",46%
Total,"36,095 (7%)","36,095 (7%)","36,680 (2%)","36,680 (2%)","27,717 (24%)","27,717 (24%)"
