Model,2009,2010,2011
Units,% of total,Units,% of total,Units,% of total
911(997),"6,839 (17.8%)",35.00%,"5,735 (16%)",23%,"6,016 (5%)",21%
Boxster/Cayman,"3,875 (39.4%)",19.00%,"3,499 (9%)",14%,"3,150 (9%)",11%
Panamera,"1,247",6.33%,"7,741 (520%)",31%,"6,879 (11%)",24%
Cayenne,"7,735 (31%)",39%,"8,343 (8%)",33%,"12,978 (55%)",45%
Total,"19,696 (24%)","25,320 (28%)","29,023 (15%)"
